ePortRxDataGroup_0, ePortRxDataGroup_1, ePortRxDataGroup_2, ePortRxDataGroup_3, ePortRxDataGroup_4, ePortRxDataGroup_5, ePortRxDataGroup_6, ePortRxDataGroup_7, ePortRxDataGroup_8, ePortRxDataGroup_9, ePortRxDataGroup_10, ePortRxDataGroup_11
50855936, 507904, 573440, 57249946, 442368, 4900, 3240, 80219164, 0, 67108901, 3354, 53105689
85986560, 0, 3456, 0, 26, 0, 55214080, 71860224, 0, 412800, 0, 524314
0, 0, 0, 0, 0, 52428825, 0, 0, 4224, 79691801, 0, 0
65683456, 101204008, 0, 0, 0, 593792, 54525952, 3712, 25, 4224, 393216, 589860
396288, 82198558, 0, 73400345, 495104, 0, 0, 0, 4608, 54525952, 102765609, 67113216
409600, 8604, 50794752, 55119744, 94785953, 491549, 62919584, 409600, 0, 75497521, 94784927, 74061730
409600, 5376, 38, 35, 67114786, 79695907, 81792128, 0, 4504, 393216, 52428800, 0
0, 445696, 0, 55017472, 81788928, 71860269, 0, 25, 57147429, 67534848, 0, 54525979
609920, 560423, 54951936, 491552, 73979689, 0, 85983258, 55055616, 4096, 4120, 34, 90177570
458752, 0, 0, 4992, 0, 0, 5120, 0, 393216, 3495, 0, 5248
0, 0, 88489984, 3456, 578560, 0, 606208, 4777, 0, 491520, 4352, 4224
86409216, 757915, 3235, 84426788, 55148544, 622622, 409600, 65011737, 90177562, 31, 52838429, 39
0, 0, 0, 50331648, 3328, 0, 5760, 58720256, 495616, 507904, 0, 0
0, 3200, 0, 0, 3712, 27, 0, 573440, 60820864, 52428800, 4352, 58720282
52428834, 54940189, 415232, 63394978, 0, 496128, 52432034, 28, 557056, 54935552, 0, 3354
63537152, 429440, 0, 56627456, 90685440, 3072, 540672, 442368, 56627993, 65016704, 4130, 71303195
62914560, 442368, 4608, 458752, 0, 0, 24, 61341696, 0, 426016, 36, 92278303
425984, 0, 52433835, 56623136, 458789, 458752, 0, 73400347, 69943296, 0, 35, 73859105
83890944, 2944, 0, 117997618, 0, 0, 32, 557056, 55115808, 51200025, 0, 6178
30, 50335768, 3112, 0, 54529280, 25, 0, 414507, 80117760, 52432256, 61328512, 540672
37, 379904, 0, 3968, 65015841, 75503130, 40, 824482, 425984, 0, 33, 90180864
83889408, 446107, 393216, 0, 54525952, 67780608, 77598592, 3584, 0, 60817408, 4736, 80137503
50921505, 0, 0, 0, 5537, 94896167, 71843840, 0, 102760448, 430336, 50331648, 4352
0, 0, 561054, 0, 478755, 0, 557056, 3225, 0, 609408, 3232, 0
0, 50774016, 0, 0, 0, 78168064, 0, 589855, 0, 6300, 0, 442368
0, 58720279, 0, 86392832, 4352, 75907104, 81788928, 45, 50937856, 88506368, 78188967, 429345
0, 30, 589824, 409600, 589824, 0, 26, 3840, 71843840, 0, 4352, 78004280
0, 67698688, 0, 0, 4005, 446976, 73400320, 69206016, 606208, 0, 52428800, 3358
0, 4380, 397696, 0, 85983232, 69206016, 24, 0, 3072, 3200, 55083008, 54525952
3968, 393216, 4352, 45, 557056, 30, 3358, 3840, 52432155, 0, 655360, 65011712
0, 426009, 0, 25, 88080384, 65011742, 73826304, 445952, 0, 33, 0, 62918400
0, 54968357, 71306624, 442407, 67108864, 491520, 30, 462208, 50331648, 0, 26, 56627363
62914592, 65011712, 84443136, 61341720, 658983, 507904, 75894656, 0, 4012, 409625, 58726441, 100663296
69209856, 24, 0, 0, 42, 0, 491520, 0, 50331648, 429696, 540709, 78168108
60822144, 0, 0, 69730304, 0, 0, 0, 54525952, 80171776, 0, 557087, 60817408
5120, 54525952, 52428800, 413184, 26, 3233, 0, 4224, 50331648, 0, 0, 38
50331648, 3840, 0, 393216, 69210272, 65524124, 59392000, 50827648, 0, 0, 431528, 3456
0, 376832, 0, 56623104, 71303168, 65014950, 0, 3968, 540696, 3360, 3869, 462336
589824, 425984, 5248, 0, 475173, 83886108, 52433024, 0, 69599267, 69209088, 102760448, 79691776
0, 0, 3328, 0, 52923648, 409600, 496546, 0, 425984, 25, 0, 57180196
67665920, 0, 475136, 61423616, 31, 475136, 65454080, 82318336, 0, 0, 58725531, 85983232
3358, 54529408, 54525952, 622592, 67715072, 0, 75497497, 0, 0, 34, 479135, 88080409
3072, 0, 3840, 4864, 0, 56626473, 28, 4480, 3237, 0, 67112064, 41
27, 442368, 37, 73400320, 73404960, 442368, 0, 57147392, 638976, 52428800, 27, 0
60822272, 593280, 86622208, 57151261, 0, 0, 622639, 65470464, 491520, 0, 60817408, 4096
0, 50331648, 3227, 54990006, 479360, 62914560, 77598336, 445987, 442368, 409600, 52887552, 0
57180191, 0, 73405312, 56623104, 52936704, 59231744, 52433024, 4480, 0, 0, 4257, 52428800
0, 65011740, 0, 24, 0, 0, 58720256, 511232, 446208, 63455258, 43, 77597977
3355, 3328, 25, 65011712, 55263232, 52433920, 524288, 50331648, 595328, 65015936, 4480, 84318368
97177856, 71303168, 3456, 0, 65011712, 27, 4480, 446592, 0, 28, 655391, 80117760
69206016, 3328, 67584000, 0, 80352036, 57081856, 0, 0, 31, 61263667, 88084992, 67851550
52428800, 0, 50336000, 688128, 67780634, 90181664, 589851, 69800227, 3072, 5018, 60817408, 0
0, 71830912, 4224, 3358, 507944, 3456, 52891136, 35, 409629, 491552, 0, 512029
0, 0, 90177536, 3480, 78053376, 3456, 3968, 0, 540672, 3456, 491520, 3840
40, 0, 0, 56623130, 65011712, 0, 393245, 69602856, 524328, 528281, 0, 0
4765, 425984, 397952, 723840, 60822055, 69206016, 69619622, 561696, 0, 99209374, 33, 67112218
0, 3200, 55099392, 52428824, 75501482, 69209344, 90590464, 4736, 60817408, 4224, 642849, 69209377
3712, 56626329, 50331676, 557056, 59244579, 32, 0, 62914560, 413082, 58720305, 507940, 3584
409637, 0, 0, 50331648, 67112865, 60817408, 92277888, 0, 65016354, 50336000, 4633, 90182427
426010, 0, 60817408, 393216, 528256, 52843008, 96469026, 540698, 25, 62919424, 59216169, 58720281
544128, 4383, 67551232, 67108864, 58724992, 458783, 446884, 0, 53002280, 63324160, 71306400, 589876
50331648, 69206016, 0, 52907008, 65011712, 0, 25, 50331683, 0, 67654784, 442394, 0
0, 53055744, 73842688, 65490211, 85983232, 3328, 67108891, 0, 50761600, 37, 73400346, 46
393216, 0, 0, 0, 0, 0, 409600, 507904, 65011737, 61216553, 56627240, 67638175
409600, 0, 50331690, 0, 479232, 463402, 409600, 71303168, 74170368, 0, 0, 0
52428800, 458780, 55103360, 39, 524288, 58726684, 26, 0, 461952, 69206016, 0, 79691776
0, 0, 4864, 442368, 63377437, 5120, 50872320, 425984, 28, 507933, 0, 655360
0, 0, 30, 3200, 0, 57491456, 0, 3480, 67518464, 540672, 3752, 3200
0, 475168, 63656478, 0, 65016880, 0, 507928, 0, 560128, 0, 462336, 71307172
412957, 409600, 0, 54531328, 3584, 0, 35, 0, 65536000, 0, 0, 36
0, 0, 0, 56623104, 59166208, 524321, 73400320, 0, 393216, 39, 32, 62914560
76188672, 0, 4096, 56623104, 73400346, 725030, 52433408, 838684, 2980, 0, 4009, 69206016
0, 524316, 69877760, 0, 34, 0, 3584, 409600, 0, 524313, 52428800, 753696
2979, 50855936, 0, 495232, 0, 4224, 0, 28, 5248, 44, 3840, 85983262
25, 57049119, 409626, 3584, 63356928, 0, 71303192, 671769, 61227033, 4224, 3712, 4378
3200, 0, 65015680, 4864, 0, 56626474, 74108316, 5888, 3366, 573440, 4096, 42
81792512, 0, 77594624, 524288, 589824, 88080414, 3584, 393216, 561152, 622592, 0, 0
67108864, 393216, 0, 0, 79691776, 26, 491520, 57081856, 589824, 429354, 35, 69206016
50331675, 397440, 40, 69615616, 475136, 0, 69206016, 0, 0, 90182912, 67605120, 3328
3968, 3354, 688128, 442368, 96932507, 442368, 90865664, 625792, 67702953, 82267294, 4648, 63444736
0, 561536, 0, 73400320, 28, 425984, 0, 50331648, 26, 54971648, 431744, 3840
0, 0, 0, 67113506, 540672, 0, 0, 0, 4352, 3712, 3200, 560896
425984, 409600, 0, 3480, 4992, 28, 0, 25, 5120, 0, 27, 4250
426010, 393216, 59315497, 0, 0, 54525982, 3619, 71778304, 3227, 3744, 446592, 4122
0, 0, 4096, 0, 27, 84541440, 41, 36, 409600, 0, 28, 67113506
491520, 3840, 0, 67108897, 573467, 73400353, 37, 0, 0, 475136, 60817452, 524315
27, 0, 0, 409600, 35, 76025472, 0, 3328, 0, 26, 75497502, 32
52428800, 4096, 56623131, 445824, 5150, 79691776, 24, 0, 606238, 429211, 61390848, 4224
62914586, 0, 44, 80232448, 491520, 62914560, 0, 0, 4224, 5248, 69209252, 74104863
0, 0, 54525952, 65011712, 71811072, 0, 563200, 0, 0, 34, 560665, 32
37, 59129856, 0, 37, 80314400, 540672, 4096, 0, 462464, 27, 69206043, 67112192
458752, 3200, 67108898, 3328, 27, 55333632, 3328, 50331688, 0, 57201792, 442399, 84512035
61308928, 34, 0, 0, 475136, 0, 3328, 69621146, 52428800, 0, 3456, 86425634
0, 512000, 0, 396672, 33, 78037024, 0, 0, 0, 409634, 57037977, 529408
73400320, 524288, 589824, 0, 73406976, 540722, 3584, 71303196, 0, 528281, 65556480, 577835
491520, 0, 412827, 507904, 69636224, 75497502, 62914560, 577152, 4352, 0, 0, 593152
24, 0, 56626176, 0, 67114141, 79691776, 3200, 0, 0, 557056, 491520, 475162
54525981, 0, 4608, 0, 94375168, 0, 104857600, 99024896, 50334720, 4134, 644764, 3712
4096, 82399104, 88080409, 638976, 0, 0, 397089, 0, 0, 3200, 52433074, 0
